chembl_id	accession	pref_name	organism	l1	l2	l3	l4	l5	l6	l7	l8
CHEMBL3400	P41516	DNA topoisomerase II alpha	Rattus norvegicus	Enzyme							
CHEMBL5399	P41586	Pituitary adenylate cyclase-activating polypeptide type I receptor	Homo sapiens	Unclassified protein							
CHEMBL4532	P41587	Vasoactive intestinal polypeptide receptor 2	Homo sapiens	Membrane receptor	Family B G protein-coupled receptor	Peptide receptor (family B GPCR)	Vasoactive intestinal peptide receptor	Vasoactive intestinal peptide receptor			
CHEMBL1075300	P41593	Parathyroid hormone receptor	Mus musculus	Membrane receptor	Family B G protein-coupled receptor	Peptide receptor (family B GPCR)	Parathyroid hormone receptor	Parathyroid hormone receptor			
CHEMBL3227	P41594	Metabotropic glutamate receptor 5	Homo sapiens	Membrane receptor	Family C G protein-coupled receptor	Small molecule receptor (family C GPCR)	Neurotransmitter receptor (family C GPCR)	Metabotropic glutamate receptor			
CHEMBL1833	P41595	Serotonin 2b (5-HT2b) receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Serotonin receptor			
CHEMBL2095200	P41595	Serotonin 2 (5-HT2) receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Serotonin receptor			
CHEMBL2096904	P41595	Serotonin (5-HT) receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Serotonin receptor			
CHEMBL2111466	P41595	Serotonin receptor (2b and 2c)	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Serotonin receptor			
CHEMBL4015	P41597	C-C chemokine receptor type 2	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Chemokine receptor	CC chemokine receptor			
CHEMBL5400	P41738	Aryl hydrocarbon receptor	Rattus norvegicus	Unclassified protein							
CHEMBL2598	P41743	Protein kinase C iota	Homo sapiens	Enzyme	Kinase	Protein Kinase	AGC protein kinase group	AGC protein kinase PKC family	AGC protein kinase PKC iota subfamily		
CHEMBL2093867	P41743	Protein kinase C (PKC)	Homo sapiens	Enzyme	Kinase	Protein Kinase	AGC protein kinase group	AGC protein kinase PKC family	AGC protein kinase PKC iota subfamily		
CHEMBL4119	P41921	Glutathione reductase	Saccharomyces cerevisiae S288c	Enzyme							
CHEMBL1741183	P41948	Ammonium transporter MEP2	Saccharomyces cerevisiae S288c	Unclassified protein							
CHEMBL4644	P41968	Melanocortin receptor 3	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor			
CHEMBL2111323	P41968	Melanocortin receptor (M3 and M4)	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor			
CHEMBL1982	P41972	Isoleucyl-tRNA synthetase	Staphylococcus aureus	Enzyme	Ligase						
CHEMBL2364156	P42081	T-lymphocyte activation antigen CD86	Homo sapiens	Surface antigen							
CHEMBL2176834	P42123	L-lactate dehydrogenase B chain	Rattus norvegicus	Enzyme							
CHEMBL2169719	P42124	Histone-lysine N-methyltransferase E(z)	Drosophila melanogaster	Enzyme							
CHEMBL6101	P42224	Signal transducer and activator of transcription 1-alpha/beta	Homo sapiens	Unclassified protein							
CHEMBL1667670	P42225	Signal transducer and activator of transcription 1	Mus musculus	Unclassified protein							
CHEMBL5401	P42226	Signal transducer and activator of transcription 6	Homo sapiens	Unclassified protein							
CHEMBL5402	P42227	Signal transducer and activator of transcription 3	Mus musculus	Unclassified protein							
CHEMBL5403	P42229	Signal transducer and activator of transcription 5A	Homo sapiens	Unclassified protein							
CHEMBL5513	P42230	Signal transducer and activator of transcription 5A	Mus musculus	Unclassified protein							
CHEMBL3607	P42260	Glutamate receptor ionotropic kainate 2	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	Kainate receptor				
CHEMBL2094119	P42260	Glutamate receptor ionotropic, kainate	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	Kainate receptor				
CHEMBL3038481	P42260	Ionotropic glutamate receptor kainate 2/5	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	Kainate receptor				
CHEMBL2009	P42261	Glutamate receptor ionotropic, AMPA 1	Homo sapiens	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL2096670	P42261	Glutamate receptor ionotropic AMPA	Homo sapiens	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL4016	P42262	Glutamate receptor ionotropic, AMPA 2	Homo sapiens	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL2096670	P42262	Glutamate receptor ionotropic AMPA	Homo sapiens	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL3595	P42263	Glutamate receptor ionotropic, AMPA 3	Homo sapiens	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL2096670	P42263	Glutamate receptor ionotropic AMPA	Homo sapiens	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL3744	P42264	Glutamate receptor ionotropic kainate 3	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	Kainate receptor				
CHEMBL2094119	P42264	Glutamate receptor ionotropic, kainate	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	Kainate receptor				
CHEMBL4681	P42330	Aldo-keto-reductase family 1 member C3	Homo sapiens	Enzyme							
CHEMBL4005	P42336	PI3-kinase p110-alpha subunit	Homo sapiens	Enzyme							
CHEMBL2111367	P42336	PI3-kinase p110-alpha/p85-alpha	Homo sapiens	Enzyme							
CHEMBL3559703	P42336	PI3-kinase class I	Homo sapiens	Enzyme							
CHEMBL2499	P42337	PI3-kinase p110-alpha subunit	Mus musculus	Enzyme							
CHEMBL3145	P42338	PI3-kinase p110-beta subunit	Homo sapiens	Enzyme							
CHEMBL3038510	P42338	PI3K p110 beta/p85 alpha	Homo sapiens	Enzyme							
CHEMBL3559703	P42338	PI3-kinase class I	Homo sapiens	Enzyme							
CHEMBL2842	P42345	Serine/threonine-protein kinase mTOR	Homo sapiens	Enzyme							
CHEMBL2221341	P42345	Mammalian target of Rapamycin (mTORC1)	Homo sapiens	Enzyme							
CHEMBL1075134	P42346	Serine/threonine-protein kinase mTOR	Rattus norvegicus	Enzyme	Kinase	Protein Kinase	Atypical protein kinase group	Atypical protein kinase PIKK family	Atypical protein kinase FRAP subfamily		
CHEMBL3667	P42356	PI4-kinase alpha subunit	Homo sapiens	Enzyme							
CHEMBL2096619	P42356	Phosphatidylinositol 4-kinase, PI4K	Homo sapiens	Enzyme							
CHEMBL3038509	P42356	PI4KA/PI4KAP2	Homo sapiens	Enzyme							
CHEMBL3038509	P42356	PI4KA/PI4KAP2	Homo sapiens	Enzyme							
CHEMBL4003	P42357	Histidase	Homo sapiens	Enzyme							
CHEMBL3097981	P42512	Fe(3+)-pyochelin receptor	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)	Unclassified protein							
CHEMBL1250361	P42573	Cell death protein 3	Caenorhabditis elegans	Enzyme							
CHEMBL2334	P42574	Caspase-3	Homo sapiens	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family			
CHEMBL4884	P42575	Caspase-2	Homo sapiens	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family			
CHEMBL1932893	P42677	40S ribosomal protein S27	Homo sapiens	Unclassified protein							
CHEMBL4175	P42679	Tyrosine-protein kinase CTK	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase Csk family			
CHEMBL4246	P42680	Tyrosine-protein kinase TEC	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase Tec family			
CHEMBL4367	P42681	Tyrosine-protein kinase TXK	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase Tec family			
CHEMBL4014	P42684	Tyrosine-protein kinase ABL2	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase Abl family			
CHEMBL2111414	P42684	Tyrosine-protein kinase ABL	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase Abl family			
CHEMBL4223	P42685	Tyrosine-protein kinase FRK	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase Src family			
CHEMBL2363074	P42685	SRC	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase Src family			
CHEMBL3137274	P42702	LIFR/GP130	Homo sapiens	Membrane receptor							
CHEMBL2335	P42785	Lysosomal Pro-X carboxypeptidase	Homo sapiens	Enzyme	Protease	Serine protease	Serine protease SC clan	Serine protease S28 family			
CHEMBL5514	P42858	Huntingtin	Homo sapiens	Unclassified protein							
CHEMBL1250362	P42859	Huntingtin	Mus musculus	Unclassified protein							
CHEMBL2858	P42866	Mu opioid receptor	Mus musculus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Opioid receptor			
CHEMBL2095192	P42866	Opioid receptor	Mus musculus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Opioid receptor			
CHEMBL2221343	P42866	Opioid receptors; mu and delta	Mus musculus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Opioid receptor			
CHEMBL2340	P42891	Endothelin-converting enzyme 1	Bos taurus	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family			
CHEMBL4791	P42892	Endothelin-converting enzyme 1	Homo sapiens	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family			
CHEMBL2676	P42893	Endothelin-converting enzyme 1	Rattus norvegicus	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family			
CHEMBL3112383	P42971	Penicillin-binding protein 3	Bacillus subtilis (strain 168)	Unclassified protein							
CHEMBL3085	P43003	Excitatory amino acid transporter 1	Homo sapiens	Transporter	Electrochemical transporter	SLC superfamily of solute carriers	SLC01 family of amino acid transporters				
CHEMBL4973	P43004	Excitatory amino acid transporter 2	Homo sapiens	Transporter	Electrochemical transporter	SLC superfamily of solute carriers	SLC01 family of amino acid transporters				
CHEMBL2721	P43005	Excitatory amino acid transporter 3	Homo sapiens	Transporter	Electrochemical transporter	SLC superfamily of solute carriers	SLC01 family of amino acid transporters				
CHEMBL5515	P43057	Protein kinase C-like 1	Candida albicans	Enzyme	Kinase	Protein Kinase	AGC protein kinase group	AGC protein kinase PKC family	AGC protein kinase PKC unclassified		
CHEMBL1163109	P43071	Multidrug resistance protein CDR1	Candida albicans	Unclassified protein							
CHEMBL1987	P43088	Prostanoid FP receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Prostanoid receptor			
CHEMBL6179	P43093	Candidapepsin-4	Candida albicans (strain WO-1) (Yeast)	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily			
CHEMBL6019	P43094	Candidapepsin-5	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily			
CHEMBL6178	P43095	Candidapepsin-6	Candida albicans	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily			
CHEMBL4086	P43114	Prostanoid EP4 receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Prostanoid receptor			
CHEMBL3710	P43115	Prostanoid EP3 receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Prostanoid receptor			
CHEMBL2363068	P43115	Prostaglandin E2 receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Prostanoid receptor			
CHEMBL1881	P43116	Prostanoid EP2 receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Prostanoid receptor			
CHEMBL2363068	P43116	Prostaglandin E2 receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Prostanoid receptor			
CHEMBL5000	P43117	Prostanoid FP receptor	Mus musculus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Prostanoid receptor			
CHEMBL1995	P43119	Prostanoid IP receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Prostanoid receptor			
CHEMBL1907610	P43140	Adrenergic receptor alpha-1	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Adrenergic receptor			
CHEMBL319	P43140	Alpha-1a adrenergic receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Adrenergic receptor			
CHEMBL2097171	P43140	Serotonin 1a (5-HT1a) receptor/Adrenergic receptor alpha-1	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Adrenergic receptor			
CHEMBL2094111	P43140	Adrenergic receptor alpha	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Adrenergic receptor			
CHEMBL2111447	P43140	Alpha adrenergic receptor 1A and 1D	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Adrenergic receptor			
CHEMBL2111476	P43140	Alpha adrenergic receptor 1A and 1B	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Adrenergic receptor			
CHEMBL4747	P43143	Neuronal acetylcholine receptor subunit alpha-6	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL2094110	P43143	Neuronal acetylcholine receptor	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL3137275	P43143	Nicotinic acetylcholine receptor alpha6/alpha3/beta2/beta3	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL3137276	P43143	Nicotinic acetylcholine receptor alpha6/alpha3/beta4	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL2585	P43144	Neuronal acetylcholine receptor protein alpha-9 subunit	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL2094110	P43144	Neuronal acetylcholine receptor	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL3038462	P43144	Nicotinic acetylcholine receptor alpha9/alpha10	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL2802	P43153	Microbial collagenase	Clostridium perfringens (strain 13 / Type A)	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M9B subfamily			
CHEMBL3184	P43155	Carnitine acetylase	Homo sapiens	Transporter	Group translocator						
CHEMBL2326	P43166	Carbonic anhydrase VII	Homo sapiens	Enzyme	Lyase						
CHEMBL2095180	P43166	Carbonic anhydrase	Homo sapiens	Enzyme	Lyase						
CHEMBL5001	P43219	Gastric inhibitory polypeptide receptor	Rattus norvegicus	Membrane receptor	Family B G protein-coupled receptor	Peptide receptor (family B GPCR)	Glucagon-like receptor	Gastric inhibitory polypeptide receptor			
CHEMBL1784	P43220	Glucagon-like peptide 1 receptor	Homo sapiens	Membrane receptor	Family B G protein-coupled receptor	Peptide receptor (family B GPCR)	Glucagon-like receptor	Glucagon-like peptide receptor			
CHEMBL268	P43235	Cathepsin K	Homo sapiens	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family			
CHEMBL2111361	P43235	Cathepsin (V and K)	Homo sapiens	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family			
CHEMBL2111368	P43235	Cathepsin (S and K)	Homo sapiens	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family			
CHEMBL2111380	P43235	Cathepsin (L and K)	Homo sapiens	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family			
CHEMBL2111396	P43235	Cathepsin (B and K)	Homo sapiens	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family			
CHEMBL2111441	P43235	Cathepsin (H and K)	Homo sapiens	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family			
CHEMBL3349	P43236	Cathepsin K	Oryctolagus cuniculus	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family			
CHEMBL1075229	P43245	Multidrug resistance protein 1	Rattus norvegicus	Enzyme							
CHEMBL6144	P43250	G protein-coupled receptor kinase 6	Homo sapiens	Enzyme	Kinase	Protein Kinase	AGC protein kinase group	AGC protein kinase GRK family	AGC protein kinase GRK subfamily		
CHEMBL3322	P43253	Prostanoid IP receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Prostanoid receptor			
CHEMBL3391681	P43304	Mitochondrial glycerol-3-phosphate dehydrogenase	Homo sapiens	Enzyme							
CHEMBL1795107	P43316	Endoglucanase-5	Humicola insolens	Enzyme							
CHEMBL2570	P43346	Deoxycytidine kinase	Mus musculus	Enzyme							
CHEMBL2362978	P43351	DNA repair protein RAD52 homolog	Homo sapiens	Unclassified protein							
CHEMBL3542434	P43353	Aldehyde dehydrogenase	Homo sapiens	Enzyme							
CHEMBL5002	P43354	Nuclear receptor subfamily 4 group A member 2	Homo sapiens	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 4	Nuclear hormone receptor subfamily 4 group A	Nuclear hormone receptor subfamily 4 group A member 2			
CHEMBL4143	P43367	Calpain 2	Sus scrofa	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C2 family			
CHEMBL6117	P43378	Tyrosine-protein phosphatase non-receptor type 9	Homo sapiens	Enzyme							
CHEMBL2803	P43403	Tyrosine-protein kinase ZAP-70	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase Syk family			
CHEMBL2034801	P43404	Tyrosine-protein kinase ZAP-70	Mus musculus	Enzyme							
CHEMBL2599	P43405	Tyrosine-protein kinase SYK	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase Syk family			
CHEMBL4759	P43428	Glucose-6-phosphatase	Rattus norvegicus	Enzyme							
CHEMBL2176814	P43432	Interleukin-12 subunit beta	Mus musculus	Unclassified protein							
CHEMBL1744525	P43490	Nicotinamide phosphoribosyltransferase	Homo sapiens	Enzyme							
CHEMBL5003	P43568	Serine/threonine-protein kinase CAK1	Saccharomyces cerevisiae S288c	Enzyme	Kinase	Protein Kinase	CMGC protein kinase group	CMGC protein kinase CDK family	CMGC protein kinase unclassified CDK subfamily		
CHEMBL2331058	P43657	Lysophosphatidic acid receptor 6	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	EDG receptor			
CHEMBL1907591	P43681	Neuronal acetylcholine receptor; alpha4/beta4	Homo sapiens	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL1907589	P43681	Neuronal acetylcholine receptor; alpha4/beta2	Homo sapiens	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL1882	P43681	Neuronal acetylcholine receptor protein alpha-4 subunit	Homo sapiens	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL3038461	P43681	Nicotinic acetylcholine receptor alpha4/beta2/alpha5	Homo sapiens	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL1687679	P43694	Transcription factor GATA-4	Homo sapiens	Unclassified protein							
CHEMBL3822	P43711	Beta-ketoacyl-ACP synthase III	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Enzyme							
CHEMBL3671	P43819	Phenylalanyl-tRNA synthetase alpha chain	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Enzyme							
CHEMBL1641340	P43828	Methionyl-tRNA synthetase	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Enzyme							
CHEMBL5004	P43870	Type-2 restriction enzyme HindIII	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Enzyme							
CHEMBL1075192	P44514	Succinyl-diaminopimelate desuccinylase	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Enzyme							
CHEMBL1075088	P45040	Cysteine synthase	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Enzyme							
CHEMBL4341	P45352	Thymidylate synthase	Rattus norvegicus	Enzyme							
CHEMBL3108653	P45376	Aldose reductase	Mus musculus	Enzyme							
CHEMBL2095202	P45379	Troponin, cardiac muscle	Homo sapiens	Unclassified protein							
CHEMBL280	P45452	Matrix metalloproteinase 13	Homo sapiens	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily			
CHEMBL2095216	P45452	Collagenase	Homo sapiens	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily			
CHEMBL2111422	P45452	Matrix metalloproteinase (1 and 13)	Homo sapiens	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily			
CHEMBL4091	P45568	1-deoxyxylulose-5-phosphate reductoisomerase	Escherichia coli K-12	Enzyme							
CHEMBL3496	P45578	S-ribosylhomocysteine lyase	Escherichia coli K-12	Enzyme							
CHEMBL3112375	P45845	Protein-lysine 6-oxidase	Sus scrofa	Enzyme							
CHEMBL2424505	P45877	Peptidyl-prolyl cis-trans isomerase C	Homo sapiens	Enzyme							
CHEMBL6190	P45880	Voltage-dependent anion-selective channel protein 2	Homo sapiens	Ion channel	Other ion channel	Mitochondrial and plastid porin family	Voltage-dependent anion-selective channel				
CHEMBL2176830	P45953	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	Rattus norvegicus	Enzyme							
CHEMBL6158	P45974	Ubiquitin carboxyl-terminal hydrolase 5	Homo sapiens	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C19 family			
CHEMBL2169720	P45975	Histone-lysine N-methyltransferase Su(var)3-9	Drosophila melanogaster	Enzyme							
CHEMBL2276	P45983	c-Jun N-terminal kinase 1	Homo sapiens	Enzyme	Kinase	Protein Kinase	CMGC protein kinase group	CMGC protein kinase MAPK family	CMGC protein kinase JNK subfamily		
CHEMBL2096667	P45983	c-Jun N-terminal kinase, JNK	Homo sapiens	Enzyme	Kinase	Protein Kinase	CMGC protein kinase group	CMGC protein kinase MAPK family	CMGC protein kinase JNK subfamily		
CHEMBL4179	P45984	c-Jun N-terminal kinase 2	Homo sapiens	Enzyme	Kinase	Protein Kinase	CMGC protein kinase group	CMGC protein kinase MAPK family	CMGC protein kinase JNK subfamily		
CHEMBL2096667	P45984	c-Jun N-terminal kinase, JNK	Homo sapiens	Enzyme	Kinase	Protein Kinase	CMGC protein kinase group	CMGC protein kinase MAPK family	CMGC protein kinase JNK subfamily		
CHEMBL3038502	P45984	JNK2/JNK3	Homo sapiens	Enzyme	Kinase	Protein Kinase	CMGC protein kinase group	CMGC protein kinase MAPK family	CMGC protein kinase JNK subfamily		
CHEMBL2897	P45985	Dual specificity mitogen-activated protein kinase kinase 4	Homo sapiens	Enzyme	Kinase	Protein Kinase	STE protein kinase group	STE protein kinase STE7 family			
CHEMBL4127	P46002	Platelet activating factor receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	PAF receptor			
CHEMBL2111324	P46019	Phosphorylase kinase	Homo sapiens	Enzyme	Kinase	Protein kinase regulatory subunit					
CHEMBL2111324	P46020	Phosphorylase kinase	Homo sapiens	Enzyme	Kinase	Protein kinase regulatory subunit					
CHEMBL4605	P46059	Oligopeptide transporter small intestine isoform	Homo sapiens	Transporter	Electrochemical transporter	SLC superfamily of solute carriers	SLC15 family of peptide transporters				
CHEMBL1293236	P46063	ATP-dependent DNA helicase Q1	Homo sapiens	Enzyme							
CHEMBL2321628	P46092	C-C chemokine receptor type 10	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Chemokine receptor	CC chemokine receptor			
CHEMBL3638324	P46093	G-protein coupled receptor 4	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor						
CHEMBL1899	P46098	Serotonin 3a (5-HT3a) receptor	Homo sapiens	Ion channel	Ligand-gated ion channel	5HT3 receptor					
CHEMBL2094132	P46098	Serotonin 3 (5-HT3) receptor	Homo sapiens	Ion channel	Ligand-gated ion channel	5HT3 receptor					
CHEMBL2096904	P46098	Serotonin (5-HT) receptor	Homo sapiens	Ion channel	Ligand-gated ion channel	5HT3 receptor					
CHEMBL2111332	P46098	Serotonin 3 (5-HT3) receptor	Homo sapiens	Ion channel	Ligand-gated ion channel	5HT3 receptor					
CHEMBL5005	P46108	Proto-oncogene C-crk	Homo sapiens	Unclassified protein							
CHEMBL1293291	P46154	Glutathione-independent formaldehyde dehydrogenase	Pseudomonas putida	Enzyme							
CHEMBL2156	P46197	Atrial natriuretic peptide receptor B	Bos taurus	Membrane receptor							
CHEMBL2156	P46197	Atrial natriuretic peptide receptor B	Bos taurus	Enzyme	Lyase	Guanylate cyclase	Receptor guanylate cyclase				
CHEMBL2366474	P46225	Triosephosphate isomerase, chloroplastic	Secale cereale	Enzyme							
CHEMBL1075199	P46406	Glyceraldehyde-3-phosphate dehydrogenase	Oryctolagus cuniculus	Enzyme							
CHEMBL2366475	P46426	Glutathione S-transferase	Dirofilaria immitis	Enzyme							
CHEMBL2819	P46439	Glutathione S-transferase Mu 5	Homo sapiens	Enzyme							
CHEMBL2311231	P46459	Vesicle-fusing ATPase	Homo sapiens	Ion channel	Other ion channel	Vesicle fusion pores					
