chembl_id	accession	pref_name	organism	l1	l2	l3	l4	l5	l6	l7	l8
CHEMBL1649055	C0IX24	Carbonic anhydrase	Stylophora pistillata	Unclassified protein							
CHEMBL2366415	C0L093	Acetolactate synthase	Nicotiana tabacum	Enzyme	Transferase						
CHEMBL3243908	C1JLF0	Dihydrofolate reductase	Oryctolagus cuniculus	Enzyme	Oxidoreductase						
CHEMBL2366416	C1KUY1	Odorant-binding protein 1	Acyrthosiphon pisum	Unclassified protein							
CHEMBL2366417	C1KUY2	Odorant-binding protein 2	Acyrthosiphon pisum	Unclassified protein							
CHEMBL2366418	C1KUY3	Odorant-binding protein 3	Acyrthosiphon pisum	Unclassified protein							
CHEMBL2366419	C1N1S5	Protoporphyrinogen IX oxidase	Micromonas pusilla (strain CCMP1545) (Picoplanktonic green alga)	Enzyme	Oxidoreductase						
CHEMBL3286084	C3LPU7	Delta-aminolevulinic acid dehydratase	Vibrio cholerae serotype O1 (strain M66-2)	Enzyme							
CHEMBL1938227	C3SIU2	Met repressor	Escherichia coli	Unclassified protein							
CHEMBL5473	C3SJS7	DNA polymerase I	Escherichia coli	Unclassified protein							
CHEMBL3559674	C3SLB7	Bifunctional protein GlmU	Escherichia coli	Unclassified protein							
CHEMBL1287603	C3SLN2	DNA gyrase subunit B	Escherichia coli	Enzyme							
CHEMBL3627589	C3SLN3	DNA gyrase subunit B	Escherichia coli	Enzyme	Isomerase						
CHEMBL6137	C3SWJ7	Thymidylate synthase	Escherichia coli	Enzyme							
CHEMBL1795135	C3TDZ2	3-oxoacyl-[acyl-carrier-protein] synthase 3	Escherichia coli	Enzyme							
CHEMBL1795152	C3TIE2	Phospho-2-dehydro-3-deoxyheptonate aldolase	Escherichia coli	Enzyme							
CHEMBL1293272	C3TRK2	Chaperone protein dnaK	Escherichia coli	Unclassified protein							
CHEMBL1667686	C4LRQ6	Neuraminidase	Influenza A virus	Unclassified protein							
CHEMBL2364704	C4PKY4	Tubulin	Taeniidae	Structural protein							
CHEMBL2364704	C4PKZ2	Tubulin	Taeniidae	Structural protein							
CHEMBL2364704	C4PKZ6	Tubulin	Taeniidae	Structural protein							
CHEMBL1293251	C4YTQ8	ATP-dependent molecular chaperone HSP82	Candida albicans (strain WO-1) (Yeast)	Unclassified protein							
CHEMBL2366420	C5HJ74	Photosystem II protein D1	Chlamydomonas reinhardtii	Unclassified protein							
CHEMBL2366421	C5ISA2	Tubulin alpha 4a	Ovis aries	Unclassified protein							
CHEMBL2366422	C5IU80	Acetylcholinesterase	Spodoptera litura	Enzyme	Hydrolase						
CHEMBL2366423	C5IW59	Glutamine synthetase	Lolium perenne	Enzyme	Ligase						
CHEMBL2366424	C6L817	Putative protoporphyrinogen IX oxidase	Cucumis sativus	Unclassified protein							
CHEMBL1667695	C7C422	Beta-lactamase NDM-1	Klebsiella pneumoniae	Enzyme							
CHEMBL1255122	C7DTR7	Metallo-beta-lactamase VIM-11	Pseudomonas aeruginosa	Unclassified protein							
CHEMBL1667693	C8YUV9	Extended spectrum beta-lactamase CTX-M-71	Klebsiella pneumoniae	Unclassified protein							
CHEMBL1697660	C8Z4T0	Snq2p	Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse)(Baker's yeast)	Unclassified protein							
CHEMBL2366426	D0E0C1	Voltage-gated sodium channel Nav1 alpha subunit	Periplaneta americana	Ion channel	Voltage-gated ion channel	Voltage-gated sodium channel					
CHEMBL2366564	D0VWV4	Succinate-ubiquinone oxidoreductase	Sus scrofa	Unclassified protein							
CHEMBL2366427	D1KEB8	Polyphenol oxidase	Oryza sativa	Unclassified protein							
CHEMBL1255123	D1MEN9	Metallo-beta-lactamase VIM-2	Pseudomonas aeruginosa	Unclassified protein							
CHEMBL1250341	D1MIX9	Beta-lactamase GES-13	Pseudomonas aeruginosa	Unclassified protein							
CHEMBL2364	D2K2A8	Hepatitis C virus NS4A protein	Hepatitis C virus	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S29 family	Serine protease S29 regulatory subfamily		
CHEMBL2095231	D2K2A8	Hepatitis C virus serine protease, NS3/NS4A	Hepatitis C virus	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S29 family	Serine protease S29 regulatory subfamily		
CHEMBL2259246	D2Y1A6	Superoxide dismutase [Cu-Zn]	Allium sativum	Enzyme							
CHEMBL1795164	D3W065	CviR transcriptional regulator	Chromobacterium violaceum	Unclassified protein							
CHEMBL3616356	D3ZDM7	D-aspartate oxidase	Rattus norvegicus	Enzyme	Oxidoreductase						
CHEMBL5489	D3ZGQ2	Thymidine kinase 2	Rattus norvegicus	Enzyme							
CHEMBL4110	D3ZJF9	Alpha-galactosidase A	Rattus norvegicus	Enzyme							
CHEMBL2680	D3ZUM4	Beta-galactosidase	Rattus norvegicus	Enzyme							
CHEMBL2630	D3ZWV0	Retinoic acid receptor gamma	Rattus norvegicus	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 1	Nuclear hormone receptor subfamily 1 group B	Nuclear hormone receptor subfamily 1 group B member 3			
CHEMBL2095179	D4A3N4	Adenylate cyclase	Rattus norvegicus	Enzyme							
CHEMBL1926499	D5F1R0	Neuraminidase	Influenza A virus	Unclassified protein							
CHEMBL1697666	D5HSX5	Extended-spectrum beta-lactamase PER-6	Aeromonas allosaccharophila	Unclassified protein							
CHEMBL1255124	D5JGF6	Metallo-beta-lactamase	Pseudomonas stutzeri	Unclassified protein							
CHEMBL1667701	D6NSM8	ADC-11	Acinetobacter baumannii	Unclassified protein							
CHEMBL2364702	E0V9R7	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364025	E0V9W2	GABA-A receptor	Pediculus humanus	Ion channel	Ligand-gated ion channel						
CHEMBL2364702	E0VAD1	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364023	E0VB18	Nicotinic acetylcholine receptor	Pediculus humanus capitis	Ion channel	Ligand-gated ion channel						
CHEMBL2364023	E0VB20	Nicotinic acetylcholine receptor	Pediculus humanus capitis	Ion channel	Ligand-gated ion channel						
CHEMBL2364702	E0VBK5	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VCA5	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VCW8	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VCW9	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364023	E0VDF4	Nicotinic acetylcholine receptor	Pediculus humanus capitis	Ion channel	Ligand-gated ion channel						
CHEMBL2364023	E0VDF5	Nicotinic acetylcholine receptor	Pediculus humanus capitis	Ion channel	Ligand-gated ion channel						
CHEMBL2364023	E0VDF7	Nicotinic acetylcholine receptor	Pediculus humanus capitis	Ion channel	Ligand-gated ion channel						
CHEMBL2364702	E0VDM3	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VDR0	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VED4	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VGV6	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VHL8	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VHZ1	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VJJ0	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VM29	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VMV6	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VMV7	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VMW9	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364023	E0VP62	Nicotinic acetylcholine receptor	Pediculus humanus capitis	Ion channel	Ligand-gated ion channel						
CHEMBL2364702	E0VQ45	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VQ46	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VQ47	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
